forecast_date,target,target_end_date,location,type,quantile,value
2020-10-25,1 wk ahead cum death,2020-10-31,Oklahoma,point,,1338
2020-10-25,1 wk ahead cum death,2020-10-31,Oregon,point,,699
2020-10-25,1 wk ahead cum death,2020-10-31,Pennsylvania,point,,8765
2020-10-25,1 wk ahead cum death,2020-10-31,Rhode Island,point,,1189
2020-10-25,1 wk ahead cum death,2020-10-31,South Carolina,point,,3877
2020-10-25,1 wk ahead cum death,2020-10-31,South Dakota,point,,437
2020-10-25,1 wk ahead cum death,2020-10-31,Tennessee,point,,3249
2020-10-25,1 wk ahead cum death,2020-10-31,Texas,point,,18347
2020-10-25,1 wk ahead cum death,2020-10-31,Utah,point,,626
2020-10-25,1 wk ahead cum death,2020-10-31,Vermont,point,,68
2020-10-25,1 wk ahead cum death,2020-10-31,Virginia,point,,3691
2020-10-25,1 wk ahead cum death,2020-10-31,Washington,point,,2359
2020-10-25,1 wk ahead cum death,2020-10-31,West Virginia,point,,467
2020-10-25,1 wk ahead cum death,2020-10-31,Wisconsin,point,,1914
2020-10-25,1 wk ahead cum death,2020-10-31,Wyoming,point,,89
2020-11-01,1 wk ahead cum death,2020-11-07,US,point,,236332
2020-11-01,1 wk ahead cum death,2020-11-07,Alabama,point,,3086
2020-11-01,1 wk ahead cum death,2020-11-07,Alaska,point,,116
2020-11-01,1 wk ahead cum death,2020-11-07,Arizona,point,,6043
2020-11-01,1 wk ahead cum death,2020-11-07,Arkansas,point,,2033
2020-11-01,1 wk ahead cum death,2020-11-07,California,point,,17964
2020-11-01,1 wk ahead cum death,2020-11-07,Colorado,point,,2382
2020-11-01,1 wk ahead cum death,2020-11-07,Connecticut,point,,4648
2020-11-01,1 wk ahead cum death,2020-11-07,Delaware,point,,722
2020-11-01,1 wk ahead cum death,2020-11-07,,point,,650
2020-11-01,1 wk ahead cum death,2020-11-07,Florida,point,,17205
2020-11-01,1 wk ahead cum death,2020-11-07,Georgia,point,,8158
2020-11-01,1 wk ahead cum death,2020-11-07,Hawaii,point,,234
2020-11-01,1 wk ahead cum death,2020-11-07,Idaho,point,,695
2020-11-01,1 wk ahead cum death,2020-11-07,Illinois,point,,10257
2020-11-01,1 wk ahead cum death,2020-11-07,Indiana,point,,4525
2020-11-01,1 wk ahead cum death,2020-11-07,Iowa,point,,1837
2020-11-01,1 wk ahead cum death,2020-11-07,Kansas,point,,1147
2020-11-01,1 wk ahead cum death,2020-11-07,Kentucky,point,,1616
2020-11-01,1 wk ahead cum death,2020-11-07,Louisiana,point,,5997
2020-11-01,1 wk ahead cum death,2020-11-07,Maine,point,,157
2020-11-01,1 wk ahead cum death,2020-11-07,Maryland,point,,4199
2020-11-01,1 wk ahead cum death,2020-11-07,Massachusetts,point,,10089
2020-11-01,1 wk ahead cum death,2020-11-07,Michigan,point,,7869
2020-11-01,1 wk ahead cum death,2020-11-07,Minnesota,point,,2648
2020-11-01,1 wk ahead cum death,2020-11-07,Mississippi,point,,3421
2020-11-01,1 wk ahead cum death,2020-11-07,Missouri,point,,3220
2020-11-01,1 wk ahead cum death,2020-11-07,Montana,point,,454
2020-11-01,1 wk ahead cum death,2020-11-07,Nebraska,point,,756
2020-11-01,1 wk ahead cum death,2020-11-07,Nevada,point,,1818
2020-11-01,1 wk ahead cum death,2020-11-07,New Hampshire,point,,495
2020-11-01,1 wk ahead cum death,2020-11-07,New Jersey,point,,16433
2020-11-01,1 wk ahead cum death,2020-11-07,New Mexico,point,,1069
2020-11-01,1 wk ahead cum death,2020-11-07,New York,point,,33647
2020-11-01,1 wk ahead cum death,2020-11-07,North Carolina,point,,4580
2020-11-01,1 wk ahead cum death,2020-11-07,North Dakota,point,,593
2020-11-01,1 wk ahead cum death,2020-11-07,Ohio,point,,5473
2020-11-01,1 wk ahead cum death,2020-11-07,Oklahoma,point,,1452
2020-11-01,1 wk ahead cum death,2020-11-07,Oregon,point,,736
2020-11-01,1 wk ahead cum death,2020-11-07,Pennsylvania,point,,8962
2020-11-01,1 wk ahead cum death,2020-11-07,Rhode Island,point,,1218
2020-11-01,1 wk ahead cum death,2020-11-07,South Carolina,point,,4036
2020-11-01,1 wk ahead cum death,2020-11-07,South Dakota,point,,504
2020-11-01,1 wk ahead cum death,2020-11-07,Tennessee,point,,3546
2020-11-01,1 wk ahead cum death,2020-11-07,Texas,point,,18896
2020-11-01,1 wk ahead cum death,2020-11-07,Utah,point,,658
2020-11-01,1 wk ahead cum death,2020-11-07,Vermont,point,,67
2020-11-01,1 wk ahead cum death,2020-11-07,Virginia,point,,3785
2020-11-01,1 wk ahead cum death,2020-11-07,Washington,point,,2432
2020-11-01,1 wk ahead cum death,2020-11-07,West Virginia,point,,504
2020-11-01,1 wk ahead cum death,2020-11-07,Wisconsin,point,,2247
2020-11-01,1 wk ahead cum death,2020-11-07,Wyoming,point,,114
2020-11-08,1 wk ahead cum death,2020-11-14,US,point,,243755
2020-11-08,1 wk ahead cum death,2020-11-14,Alabama,point,,3202
2020-11-08,1 wk ahead cum death,2020-11-14,Alaska,point,,130
2020-11-08,1 wk ahead cum death,2020-11-14,Arizona,point,,6249
2020-11-08,1 wk ahead cum death,2020-11-14,Arkansas,point,,2180
2020-11-08,1 wk ahead cum death,2020-11-14,California,point,,18338
2020-11-08,1 wk ahead cum death,2020-11-14,Colorado,point,,2517
2020-11-08,1 wk ahead cum death,2020-11-14,Connecticut,point,,4712
2020-11-08,1 wk ahead cum death,2020-11-14,Delaware,point,,733
2020-11-08,1 wk ahead cum death,2020-11-14,,point,,660
2020-11-08,1 wk ahead cum death,2020-11-14,Florida,point,,17432
2020-11-08,1 wk ahead cum death,2020-11-14,Georgia,point,,8375
2020-11-08,1 wk ahead cum death,2020-11-14,Hawaii,point,,233
2020-11-08,1 wk ahead cum death,2020-11-14,Idaho,point,,759
2020-11-08,1 wk ahead cum death,2020-11-14,Illinois,point,,10942
2020-11-08,1 wk ahead cum death,2020-11-14,Indiana,point,,4817
2020-11-08,1 wk ahead cum death,2020-11-14,Iowa,point,,1994
2020-11-08,1 wk ahead cum death,2020-11-14,Kansas,point,,1234
2020-11-08,1 wk ahead cum death,2020-11-14,Kentucky,point,,1717
2020-11-08,1 wk ahead cum death,2020-11-14,Louisiana,point,,6088
2020-11-08,1 wk ahead cum death,2020-11-14,Maine,point,,164
2020-11-08,1 wk ahead cum death,2020-11-14,Maryland,point,,4269
2020-11-08,1 wk ahead cum death,2020-11-14,Massachusetts,point,,10234
2020-11-08,1 wk ahead cum death,2020-11-14,Michigan,point,,8152
2020-11-08,1 wk ahead cum death,2020-11-14,Minnesota,point,,2848
2020-11-08,1 wk ahead cum death,2020-11-14,Mississippi,point,,3519
2020-11-08,1 wk ahead cum death,2020-11-14,Missouri,point,,3366
2020-11-08,1 wk ahead cum death,2020-11-14,Montana,point,,538
2020-11-08,1 wk ahead cum death,2020-11-14,Nebraska,point,,826
2020-11-08,1 wk ahead cum death,2020-11-14,Nevada,point,,1911
2020-11-08,1 wk ahead cum death,2020-11-14,New Hampshire,point,,503
2020-11-08,1 wk ahead cum death,2020-11-14,New Jersey,point,,16520
2020-11-08,1 wk ahead cum death,2020-11-14,New Mexico,point,,1167
2020-11-08,1 wk ahead cum death,2020-11-14,New York,point,,33833
